StationCode,StationName,Longitude,Latitude,Address
1761,پارک,51.37320363,35.72629541,
1765,پارک,51.37262003,35.72431105,
1769,پارک,51.37284571,35.72163075,
1771,برج,51.37283722,35.72160321,
1773,گذرنامه,51.37170995,35.71684663,
1775,شهر آرا,51.37069694,35.71311375,
1777,میدان بوعلی,51.36859206,35.79012879,
1785,شادمان,51.36649147,35.71038578,
1787,نصرت,51.36449985,35.70575317,
1789,آزادی,51.36296329,35.70139424,
1823,پل مدیریت,51.38581442,35.77094968,
1867,شیخ فضل الله,51.36945849,35.7345219,
1869,شهرک آزمایش,51.3661901,35.73458594,
1871,پاس فرهنگیان,51.3639689,35.73454398,
1873,اطاعتی,51.36088885,35.7344811,
1875,سرسبز,51.3599746,35.73431928,
1879,دانش,51.35425243,35.73430017,
1883,صبحی,51.36599282,35.79247954,
1893,مسجد,51.35181639,35.7343532,
1895,لاله,51.34221461,35.73549802,
1897,صدف,51.36621085,35.7253764,
1903,ناهید,51.33574584,35.73583288,
1914,شهید تیموری,51.34640096,35.71276834,
1915,میدان توحید,51.37645415,35.706962,
1919,باقرخان,51.37293432,35.7098913,
1963,میدان هنر,51.35911622,35.79515075,
1965,صبحی,51.36047124,35.79422291,
1967,لادن,51.36063722,35.79395305,
1969,برج ستاره,51.36626374,35.79244128,
1971,برج ستاره,51.36926642,35.79118982,
1979,پست برق,51.37495633,35.79095607,
2004,مسجد,51.46411684,35.78350571,
2008,بهشت مادران غربی,51.43911285,35.74257618,
2020,پایانه مترو شهید حقانی پل مدیریت,51.42812299,35.75821599,
2026,م ونک,51.40879572,35.7565109,
2041,خدامی,51.40273897,35.76378124,
2043,میدان پیروزان,51.39466607,35.77201428,
2048,شریعتی,51.44885579,35.75206453,
2051,مجتمع نور,51.39791823,35.77585676,
2057,حقانی,51.42521014,35.75881101,
2073,پایانه مترو شهید حقانی پیروزان,51.42820889,35.7582408,
2113,درویش,51.43613264,35.7826195,
2115,درویش,51.43603278,35.78094255,
2117,زرگنده,51.43618732,35.77754282,
2119,زرگنده,51.43617048,35.77650358,
2121,قلهک,51.43734385,35.77410126,
2123,شهرداری,51.43853915,35.77215,
2125,یخچال,51.43947838,35.77102361,
2127,یخچال,51.43997785,35.77006441,
2129,دو راهی,51.4414625,35.76786151,
2131,دو راهی,51.44176127,35.7675864,
2133,ظفر,51.44338393,35.76474944,
2135,ظفر,51.44376863,35.76380357,
2139,میرداماد,51.44568913,35.76067679,
2141,میرداماد,51.44683143,35.75849846,
2143,حسینیه ارشاد,51.44781486,35.7567959,
2149,پارک,51.44919782,35.74929486,
2151,پارک,51.44928802,35.74919618,
2153,منصف,51.44821855,35.74515001,
2155,منصف,51.44819324,35.74517841,
2189,فدک,51.39601911,35.77293789,
2190,شهید معینی,51.39450758,35.66014357,
2191,م شیخ بهائی,51.39558465,35.76585966,
2193,میدان شیخ بهائی,51.39491588,35.76607956,
2195,بانک,51.39498286,35.76872485,
2197,میدان شیخ بهائی,51.39551746,35.76634863,
2199,دانش دوست,51.39570078,35.76307158,
2201,شیخ بهایی,51.3960979,35.759127,
2205,شهید عباسپور,51.40837618,35.75185878,
2207,چهارراه دلبخواه,51.46455681,35.78091274,
2209,چهارراه دلبخواه,51.46379127,35.78073691,
2211,دیباجی,51.46141425,35.78039757,
2213,دیباجی,51.46080338,35.78035678,
2215,شیبانی,51.45707688,35.78008503,
2217,شیبانی,51.45704067,35.78000228,
2219,قنات,51.45303505,35.7803752,
2221,قنات,51.45293173,35.78029669,
2223,سه راه نشاط,51.44816413,35.7797206,
2225,سه راه نشاط,51.44831317,35.77967262,
2227,دانشگاه,51.44296119,35.77780254,
2229,دانشگاه,51.4433004,35.77797475,
2231,کلانتری,51.44163169,35.77672267,
2233,کلانتری,51.44067184,35.7763669,
2235,مدرسه,51.43746594,35.77565407,
2237,مدرسه,51.43737536,35.77570717,
2255,پایتخت,51.4115715,35.76300804,
2257,م ونک  پایانه آزادی,51.40789401,35.75736624,
2259,میدان ونک,51.40624745,35.75726972,
2263,کردستان,51.40273594,35.75703672,
2265,شهید شیرازی,51.39931898,35.75681661,
2267,شیرازی,51.39915879,35.75672254,
2269,بیمارستان,51.39536303,35.75649862,
2271,سازمان گوشت,51.39309238,35.75625248,
2273,شهید چمران,51.39085115,35.75620601,
2277,میدان شهید شیرازی,51.39984438,35.76100437,
2279,پردیس,51.39995343,35.76153092,
2281,ملاصدرا,51.40036804,35.75582503,
2282,ایرانشناسی,51.39713855,35.74629025,
2283,زاینده رود,51.4003309,35.757807,
2289,سوم خرداد,51.40085245,35.77019176,
2297,اختیاریه,51.46696274,35.78659396,
2299,میدان اختیاریه,51.46658427,35.78671432,
2301,شهرک ولیعصر عج,51.48644895,35.7716433,
2321,مترو تهرانپارس,51.53234761,35.73088892,
2323,مترو تهرانپارس,51.53142706,35.73087357,
2325,تیرانداز,51.52837489,35.73140251,
2363,شهرک کوثر,51.5623014,35.76718984,
2365,شهرک کوثر,51.56205587,35.76675858,
2367,بوستان هفتم,51.54897691,35.75453178,
2370,بوستان چهارم,51.54778299,35.75228899,
2373,استخر,51.5460647,35.74900344,
2375,استخر,51.5462117,35.74894718,
2377,شهید ادیب,51.54439114,35.74550877,
